generated_at,player,team,goal_share,expected_matches,expected_goals
2026-06-11,Leroy Fer,Netherlands,0.0002466802721121,5.0316,0.0025966194866359
2026-06-11,Kermit Erasmus,South Africa,0.0006308959253547,3.657,0.0025912162340199
2026-06-11,Mike Havenaar,Japan,0.000276733175659,4.9164,0.0025870615917939
2026-06-11,Håvard Nordtveit,Norway,0.0003645167596742,4.164,0.0025681406952377
2026-06-11,Luke Wilkshire,Australia,0.0004063667167254,4.2312,0.002556619079014
2026-06-11,Rasmus Elm,Sweden,0.0004941437621436,3.597,0.0025126864878692
2026-06-11,Mikkel Diskerud,United States,0.0004119163078637,4.2808,0.0025106527915783
2026-06-11,Dame N'Doye,Senegal,0.0003929161842317,4.324,0.0025036755094573
2026-06-11,Håvard Nielsen,Norway,0.0003529367854952,4.164,0.0024865559610668
2026-06-11,Philipp Hosiner,Austria,0.0004522028376357,3.9324,0.0024857604258474
2026-06-11,Ahmed Abdul Maqsoud,Qatar,0.0006636016718511,3.4694,0.0024852676845834
2026-06-11,Mats Møller Dæhli,Norway,0.0003519328579425,4.164,0.0024794829606225
2026-06-11,Chadi Hammami,Tunisia,0.0005796978409562,3.709,0.0024614095387035
2026-06-11,Bilal Kısa,Turkey,0.0003824135275589,3.9902,0.0024463088162196
2026-06-11,Tom Høgli,Norway,0.0003454302675362,4.164,0.0024336700683383
2026-06-11,Dominic Adiyiah,Ghana,0.0006851489127666,3.346,0.0024278893021203
2026-06-11,Darryl Lachman,Curaçao,0.0008723687868741,3.239,0.0024227858453127
2026-06-11,Charlton Vicento,Curaçao,0.0008723687868741,3.239,0.0024227858453127
2026-06-11,Kim Chi-Woo,South Korea,0.0003932910662219,4.0818,0.0024149061122028
2026-06-11,Felitciano Zschusschen,Curaçao,0.0008690617561344,3.239,0.002413601395586
2026-06-11,Brad Evans,United States,0.0003950615036766,4.2808,0.0024079218232335
2026-06-11,Ricardo Costa,Portugal,0.0001979203704005,5.378,0.0024048369025161
2026-06-11,Hadi Aghily,Iran,0.0003504823368506,4.3988,0.0024037615916872
2026-06-11,Fernando Arce,Mexico,0.0003428146617193,4.7836,0.0023984599534966
2026-06-11,Gerardo Torrado,Mexico,0.0003425495292088,4.7836,0.0023966049870099
2026-06-11,Oleg Zoteev,Uzbekistan,0.0005209273850252,3.7688,0.002396045537555
2026-06-11,Issam El Adoua,Morocco,0.0002944685205051,5.138400000000001,0.0023942281665127
2026-06-11,Abdelilah Hafidi,Morocco,0.0002944685205051,5.138400000000001,0.0023942281665127
2026-06-11,Katlego Mashego,South Africa,0.0005786714626415,3.657,0.0023767198802523
2026-06-11,Ali Karimi,Iran,0.0003451556537136,4.3988,0.0023672288623891
2026-06-11,Mohamed Nagy,Egypt,0.000484709889414,4.0554,0.0023549045854653
2026-06-11,Charlie Davies,United States,0.0003852169980816,4.2808,0.0023479190144546
2026-06-11,Jaroslav Plašil,Czech Republic,0.0004826550007714,3.7328,0.0023435283597428
2026-06-11,Saber Khelifa,Tunisia,0.0005509084800607,3.709,0.0023391692912595
2026-06-11,Loïc Rémy,France,0.0002007026443312,5.4928,0.0023332722543645
2026-06-11,Philipp Lahm,Germany,0.0002035383733357,5.2276,0.0023248435149041
2026-06-11,Blaise Nkufo,Switzerland,0.0002826232374364,4.6772,0.0023206373043446
2026-06-11,Dani Güiza,Spain,0.0001434006186449,6.1792,0.002318663180045
2026-06-11,Joao Rojas,Ecuador,0.0003572813040897,4.6722,0.0022932191348225
2026-06-11,Mussab Al-Laham,Jordan,0.0004945972476765,3.5092,0.0022910655851727
2026-06-11,Nabil Ghilas,Algeria,0.0003713809284776,4.1028,0.0022872883600985
2026-06-11,Steffen Iversen,Norway,0.0003222964418848,4.164,0.0022706846430726
2026-06-11,Morten Gamst Pedersen,Norway,0.0003214468241113,4.164,0.0022646988058738
2026-06-11,Hawar Mulla Mohammed,Iraq,0.0006185313377818,3.4254,0.0022524565691539
2026-06-11,Tuncay,Turkey,0.0003479089437755,3.9902,0.002225582138353
2026-06-11,Youssef Safri,Morocco,0.0002719995955989,5.138400000000001,0.0022115406154315
2026-06-11,Thabo Matlaba,South Africa,0.0005378728046866,3.657,0.0022091516006514
2026-06-11,Hossam Ghaly,Egypt,0.0004535404123936,4.0554,0.0022034714375869
2026-06-11,Francileudo Santos,Tunisia,0.0005139092343975,3.709,0.0021820696959769
2026-06-11,Emre Belözoğlu,Turkey,0.0003401881570624,3.9902,0.002176192074343
2026-06-11,Fredy Guarín,Colombia,0.0002103997601306,5.1298,0.0021655862585277
2026-06-11,John Mensah,Ghana,0.0006096358926039,3.346,0.0021603018471778
2026-06-11,Walter Ayoví,Ecuador,0.0003345126715623,4.6722,0.0021470780880121
2026-06-11,Kengo Nakamura,Japan,0.0002293807575965,4.9164,0.0021443838327713
2026-06-11,Steven Defour,Belgium,0.0002433481179884,4.8966,0.0021237337188206
2026-06-11,Daniel Van Buyten,Belgium,0.0002430444984822,4.8966,0.0021210839881039
2026-06-11,Fernando Varela,Cape Verde,0.0005800667621175,3.392,0.0021153274359697
2026-06-11,Marco Soares,Cape Verde,0.0005799759067054,3.392,0.0021149961138557
2026-06-11,James McFadden,Scotland,0.000412109756188,3.8444,0.0021148850582624
2026-06-11,Platini,Cape Verde,0.0005778678083696,3.392,0.0021073085190155
2026-06-11,Bashar Bani Yaseen,Jordan,0.0004543832170455,3.5092,0.0021047867854976
2026-06-11,May Mahlangu,South Africa,0.0005105041117754,3.657,0.0020967428838959
2026-06-11,Jádson,Brazil,0.00017854069293,5.6642,0.0020955661640127
2026-06-11,Lehlohonolo Majoro,South Africa,0.0005085688605195,3.657,0.0020887944184365
2026-06-11,Kwak Tae-hwi,South Korea,0.0003400731532688,4.0818,0.0020881347352076
2026-06-11,Yasser Al-Qahtani,Saudi Arabia,0.0006313165590266,3.5084,0.0020753284407988
2026-06-11,Junior Agogo,Ghana,0.000583791923586,3.346,0.002068721323975
2026-06-11,Semih Şentürk,Turkey,0.0003228207948486,3.9902,0.0020650926277063
